lat,lon,country
-17.86,-178.53,Fiji
37.21,-117.37,United States
33.04,-116.42,United States
61.36,-151.04,United States
32.75,-100.66,United States
61.3,-152.44,United States
32.05,-103.75,United States
61.31,-152.5,United States
33.54,-116.44,United States
35.76,-118.55,United States
58.48,-154.51,United States
33.98,-116.69,United States
38.83,-122.82,United States
46.05,-111.41,United States
61.32,-152.49,United States
33.7,-116.93,United States
38.84,-122.88,United States
28.82,-98.94,United States
61.32,-152.46,United States
37.52,-118.87,United States
44.23,-110.76,United States
8.1,126.21,Philippines
47.77,-122.88,United States
34.24,-117.43,United States
60.05,-153.05,United States
33.92,-116.71,United States
60.03,-153.09,United States
35.76,-117.56,United States
60.18,-153.0,United States
58.29,-154.89,United States
-16.28,-74.43,Peru
-7.05,125.63,Indonesia
38.84,-122.79,United States
35.67,-117.53,United States
32.05,-101.62,United States
32.3,-101.8,United States
39.5,-111.02,United States
31.72,-104.28,United States
17.91,-66.87,United States
37.39,-117.1,United States
31.66,-104.28,United States
31.68,-104.41,United States
61.52,-146.72,United States
34.43,-118.98,United States
36.85,-120.79,United States
31.72,-104.29,United States
31.13,-103.26,United States
35.89,-117.68,United States
39.51,-111.02,United States
35.73,-118.05,United States
38.21,-121.7,United States
35.04,-117.67,United States
38.99,-119.7,United States
33.26,-116.41,United States
59.62,-152.8,United States
31.57,-104.18,United States
60.33,-141.21,United States
51.9,-176.55,United States
58.46,-154.48,United States
36.55,-121.15,United States
57.03,-135.68,United States
62.37,-149.42,United States
35.65,-117.56,United States
35.65,-117.43,United States
61.3,-152.27,United States
37.33,-122.23,United States
63.48,-150.87,United States
32.12,-101.63,United States
63.51,-150.92,United States
31.56,-104.16,United States
33.71,-116.82,United States
61.9,-150.06,United States
64.48,-146.92,United States
58.29,-155.02,United States
61.47,-151.9,United States
46.31,-111.63,United States
64.89,-149.14,United States
58.4,-154.9,United States
60.51,-152.76,United States
60.47,-145.7,United States
46.85,-121.75,United States
32.07,-103.72,United States
44.54,-117.51,United States
57.03,-135.69,United States
31.68,-104.4,United States
61.37,-152.33,United States
38.79,-122.75,United States
61.34,-152.32,United States
35.35,-117.81,United States
44.28,-114.83,United States
38.84,-122.83,United States
33.85,-117.49,United States
29.1,-97.76,United States
37.92,-121.96,United States
19.16,-155.49,United States
62.89,-150.78,United States
46.02,-112.46,United States
61.47,-152.03,United States
46.87,-121.75,United States
35.84,-120.58,United States
35.05,-118.33,United States
33.91,-116.71,United States
34.64,-117.12,United States
59.06,-153.05,United States
44.93,-111.76,United States
36.99,-119.81,United States
33.41,-116.42,United States
29.11,-97.76,United States
61.68,-150.04,United States
32.19,-116.38,Mexico
28.81,-98.96,United States
59.56,-151.29,United States
53.9,-167.06,United States
31.63,-104.31,United States
60.05,-153.09,United States
36.83,-120.84,United States
35.65,-117.45,United States
33.93,-116.72,United States
37.61,-121.69,United States
33.42,-116.44,United States
32.06,-103.73,United States
37.31,-121.68,United States
59.65,-153.06,United States
17.95,-67.08,United States
17.96,-67.07,United States
61.27,-152.19,United States
36.86,-120.84,United States
58.73,-137.83,United States
60.61,-150.59,United States
35.61,-98.05,United States
59.9,-150.75,United States
59.85,-150.74,United States
31.61,-103.97,United States
61.06,-152.37,United States
38.82,-122.85,United States
38.81,-122.8,United States
38.78,-122.77,United States
